slug,название,статус,ссылка,канал,просмотры,длительность (мин),опубликован,язык,расшифровка,попыток,о чём ролик,итог,блогер хвалит,блогер ругает,ошибка,обновлено
5-in-1-arcade-vault,5 in 1 Arcade Vault,готов,https://www.youtube.com/watch?v=fXX5Foe2G1Q,K4rn4ge,73,32.0,2 weeks ago,en,Whisper,1,"Блогер знакомит зрителей с 5 in 1 Arcade Vault — сборником из пяти различных аркадных игр, доступных на Xbox One, Xbox Series и Windows. В ходе прохождения он оценивает каждую мини-игру, комментируя управление, механику получения достижений и общую сложность. Блогер отмечает, что некоторые элементы управления могут быть непривычными, а описание условий получения достижений — недостаточно подробным.","Блогер считает 5 in 1 Arcade Vault неплохой подборкой аркадных игр, где некоторые режимы ощущаются приятно, а другие могут вызвать легкое раздражение из-за специфики управления или отсутствия четких инструкций к достижениям.",удобное управление в некоторых режимах; простая и понятная механика в режиме twin-stick shooter; приятная механика в режиме shmup,"неудобная необходимость постоянно нажимать кнопку стрельбы вместо удержания; недостаточно понятные условия получения достижений; неудобная цветовая индикация, которая может быть проблемой для людей с цветовой слепотой; неудобная механика появления врагов прямо на игроке",,2026-09-16 15:02
771,771,готов,https://www.youtube.com/watch?v=p4p9SqmDE9c,Niyeko,6306,64.9,Streamed 13 hours ago,en,Whisper,1,"Блогер делится своими впечатлениями от прохождения психологического хоррора 771, состоящего из семи уникальных сегментов. Основное внимание в ролике уделяется реакциям игрока на атмосферу, звуки и визуальные образы, а также многочисленным отступлениям на темы еды и аниме. Блогер отмечает довольно короткое прохождение основной части игры, что вызвало у него некоторое удивление.","Игра оставляет смешанные впечатления: с одной стороны, она успешно создает пугающую атмосферу и использует узнаваемые визуальные образы, но с другой — блогер был разочарован краткостью прохождения полной версии игры.",атмосфера игры напоминает Backrooms; наличие работающего фонарика,неприятный звук; недостаточное количество контента в полной версии игры,,2026-09-16 19:41
911-dispatcher-unknown-caller,911 Dispatcher: Unknown Caller,готов,https://www.youtube.com/watch?v=407cCjT6_Jk,setsuna ray,95,23.7,1 day ago,en,Whisper,1,"Блогер делится впечатлениями от прохождения хоррор-игры 911 Dispatcher: Unknown Caller. Он отмечает специфический визуальный стиль игры, напоминающий рабочий стол Windows XP, и отмечает наличие багов, таких как повторение старых звонков. В ходе прохождения блогер отмечает наличие скриптовых элементов, джампскейров и странных игровых механик, в итоге называя игру шуточной.","Блогер считает игру скорее шуточной из-за странных механик и нелепых моментов, несмотря на попытку создать атмосферу хоррора.",Интересная механика движения камеры,Устаревший визуальный стиль; Наличие багов в системе; Скриптовые и нелогичные моменты,,2026-09-16 19:12
a-decent-farewell,A Decent Farewell,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 10:20
a-game-about-flipping-cards,A Game About Flipping Cards,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 11:14
a-graveyard-shift,A Graveyard Shift,готов,https://www.youtube.com/watch?v=H3OH8gUYTZ0,Live Insaan,4735652,65.4,2 years ago,hi,Whisper,1,"Блогер делится впечатлениями от прохождения хоррор-игры A Graveyard Shift, где он исполняет роль ночного охранника на кладбище. Он отмечает атмосферу игры, сравнивая визуальный ряд с эффектом полного погружения, и описывает процесс выполнения различных задач: от проверки камер видеонаблюдения до поиска предметов и борьбы с демоническими сущностями. Блогер эмоционально реагирует на пугающие моменты, включая появление монахини и внезапные скримеры, а также комментирует технические аспекты, такие как баги и изменения в окружении.","Блогер в целом остался доволен игрой, отметив её атмосферу и динамику прохождения. Несмотря на некоторые технические проблемы, он признает, что получил удовольствие от процесса.",Визуальное погружение в атмосферу кладбища; Наличие системы видеонаблюдения для проверки территории; Наличие системы выполнения задач; Интересное взаимодействие с предметами и окружением,Наличие технических ошибок и багов; Неожиданное изменение условий игры (замена замков),,2026-09-16 19:14
afk-army-for-keyboard,AFK - Army For Keyboard,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 11:02
akiba-lost,AKIBA LOST,не найден,,,,,,,,1,,,,,hGwRFIY4X5g: мало речи блогера (0 символов в минуту); EaicQmgCb9E: мало речи блогера (33 символов в минуту),2026-09-16 10:40
ares-the-iron-vanguard,ARES: THE IRON VANGUARD,готов,https://www.youtube.com/watch?v=rJaIe0RGeQU,Lein Xceed,40673,17.5,1 month ago,id,Whisper,2,"Блогер делится впечатлениями от выхода ARES: THE IRON VANGUARD в Индонезии. Он отмечает, что игра основана на старом проекте, и оценивает её как качественную MMORPG с элементами мехи и магией. Блогер хвалит глубокую систему кастомизации персонажей, визуальный стиль и наличие различных классов, но при этом предупреждает о высокой технической сложности игры для мобильных устройств и довольно дорогой системе монетизации.","ARES: THE IRON VANGUARD — это масштабная MMORPG с глубокой кастомизацией и интересными механиками смены классов. Несмотря на визуально привлекательный стиль и качественный контент, игра может быть требовательной к железу на мобильных устройствах и обладает довольно высокой стоимостью внутриигровых покупок.",Детальная настройка внешности персонажа; Возможность изменять параметры тела персонажа; Качественный пролог для мобильной игры; Интересное сочетание магических способностей и механики мехов; Наличие системы смены классов во время боя,Высокие системные требования для мобильных устройств; Наличие просадок кадров (frame drops); Дорогая система монетизации и цены на внутриигровые товары,,2026-09-16 10:29
active-matter,Active Matter,готов,https://www.youtube.com/watch?v=ZM3geD7WANA,martincitopantsLIVE,739770,37.2,10 months ago,en,Whisper,1,"Блогер проходит игру Active Matter в кооперативном режиме, исследуя её мир и взаимодействуя с различными механиками. На протяжении всего ролика он оценивает динамику процесса, элементы выживания и способы взаимодействия с окружением.","Блогер остался доволен Active Matter, отметив её пугающую атмосферу и интересные игровые механики, несмотря на некоторые сложности с навигацией и уровень шума.",атмосфера игры; возможность управлять транспортными средствами; качество окружающей среды; механика антигравитационных аномалий; Разнообразная музыка в лобби,высокий уровень шума в игре; Ловушки на полу могут быть труднозаметными; Урон от падения,,2026-09-16 15:03
